round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,7.105427357601002e-15,,0.047240783,3.469326e6,0.0
2,4,0,7.105427357601002e-15,,0.010690944,114048.0,-7.105427357601002e-15
3,8,0,1.4210854715202004e-14,,0.026357729,222368.0,-4.440892098500626e-15
4,16,4,8.881784197001252e-15,,0.053345267,438640.0,2.6645352591003757e-15
5,32,12,1.2434497875801753e-14,,0.092885262,722336.0,-2.886579864025407e-15
6,64,5,1.855529211940625,,0.305976924,4.5486784e7,-32.140655804253015
7,128,7,2.424467833410093,,0.605006812,8.4097632e7,-31.747837278996847
8,256,26,2.0695903591801663,,1.155038686,1.6363208e8,-31.950280259717417
9,512,64,1.9552800852572114,,2.271806695,3.2969592e8,-32.070316696657486
10,1024,112,2.0620808747130686,,4.594110411,6.68790896e8,-31.81526068494555
