parameters,naive_left,naive_right,mcci_radius_left,mcci_radius_right,fused_left,fused_right
p,0.26535343804025097,0.9328163973030428,0.14840966913600256,0.08469293006505235,0.1169437689042484,1.017509327368095
lp,-8.783820111780408,-5.294244451637409,3.4120570851668885,0.0009048713852843043,-12.195877196947297,-5.293339580252125
n_steps,1.0,3.0,0.0,NaN,1.0,NaN
is_accept,1.0,1.0,NaN,NaN,NaN,NaN
acceptance_rate,0.31676890645494443,1.0,0.2518073426098934,NaN,0.06496156384505103,NaN
log_density,-8.783820111780408,-5.294244451637409,3.4120570851668885,0.0009048713852843043,-12.195877196947297,-5.293339580252125
hamiltonian_energy,5.3219543873639275,9.241061724026164,0.03182501580949746,1.5372854170773103,5.29012937155443,10.778347141103474
hamiltonian_energy_error,-1.0150330002035215,0.8438702691311963,0.9379984098910893,0.6103326175941395,-1.953031410094611,1.4542028867253358
max_hamiltonian_energy_error,-1.0150330002035215,1.4480382883849034,0.9019677578458173,0.5810560995016599,-1.9170007580493387,2.0290943878865635
tree_depth,1.0,2.0,0.0,NaN,1.0,NaN
numerical_error,0.0,0.0,NaN,NaN,NaN,NaN
step_size,0.9148207134666679,0.9148207134666679,NaN,NaN,NaN,NaN
nom_step_size,0.9148207134666679,0.9148207134666679,NaN,NaN,NaN,NaN
